Year,1,2,3,4,5,6,7,8,9,10,11,12,Year_meanR,Rain_Anomaly,Mean_temp,Temp_anomaly,ECD3_bp
1900,112.6,107.5,25.7,66.8,79.4,117.7,75.4,134.8,46.5,133.2,163.8,141.5,100.40833333333335,10.060833333333335,9.3,-0.25,124
1901,108.7,42.9,80.6,81.1,49.1,75.6,33.3,98.6,133.6,107.6,96.4,118.5,85.5,-4.847500000000011,9.1,-0.45000000000000107,123
1902,70.9,83.5,67.2,73.1,69.5,74.0,80.7,76.2,86.8,69.9,144.8,96.4,82.75000000000001,-7.597499999999997,9.2,-0.3500000000000014,122
1903,161.1,97.8,168.6,49.1,70.7,68.1,129.9,150.5,106.0,156.0,73.2,104.2,111.2666666666667,20.919166666666683,9.1,-0.45000000000000107,121
1904,120.1,133.1,77.1,60.5,65.3,54.8,99.8,114.2,96.1,64.9,75.2,83.1,87.01666666666667,-3.330833333333345,9.1,-0.45000000000000107,120
1905,75.3,54.1,135.1,77.9,37.3,55.5,49.2,157.4,52.7,47.7,113.9,75.8,77.65833333333333,-12.68916666666668,9.3,-0.25,119
1906,135.2,84.4,67.6,52.4,99.0,49.0,64.8,87.1,34.5,131.7,72.5,90.0,80.68333333333334,-9.664166666666674,9.3,-0.25,118
1907,47.0,63.6,75.6,75.9,104.7,111.4,69.7,95.8,40.0,140.7,92.7,130.3,87.28333333333335,-3.064166666666665,9.0,-0.5500000000000007,117
1908,84.4,67.2,106.3,67.0,74.4,51.0,81.3,97.7,151.4,60.5,73.7,116.4,85.94166666666668,-4.405833333333334,9.7,0.14999999999999858,116
1909,72.8,53.1,91.9,128.0,52.0,53.6,75.7,40.4,63.1,158.4,49.7,120.8,79.95833333333333,-10.389166666666682,8.9,-0.6500000000000004,115
1910,101.1,145.4,67.5,67.6,65.0,108.8,88.8,155.0,28.7,69.9,114.7,115.7,94.01666666666667,3.669166666666655,9.2,-0.3500000000000014,114
1911,46.7,81.8,56.6,67.2,56.2,55.1,80.3,65.2,73.4,110.6,130.9,195.3,84.94166666666666,-5.405833333333348,9.6,0.049999999999998934,113
1912,114.2,105.3,122.6,34.5,38.5,144.5,117.3,133.5,25.2,84.2,75.4,128.7,93.65833333333335,3.310833333333335,9.2,-0.3500000000000014,112
1913,173.0,53.2,106.6,104.9,114.2,71.8,24.3,37.1,107.1,124.3,120.4,80.7,93.13333333333333,2.785833333333315,9.4,-0.15000000000000036,111
1914,59.6,149.9,125.5,45.8,52.1,31.5,85.4,125.8,62.7,56.3,117.7,211.0,93.60833333333335,3.2608333333333377,9.6,0.049999999999998934,110
1915,102.7,140.3,31.1,55.7,47.3,48.9,134.2,83.2,49.4,118.4,89.2,170.3,89.22500000000001,-1.1225000000000023,9.0,-0.5500000000000007,109
1916,75.5,122.5,58.6,94.8,113.8,66.3,59.6,84.5,55.2,206.2,162.9,93.6,99.45833333333333,9.110833333333318,9.3,-0.25,108
1917,62.1,48.4,83.2,48.5,87.6,60.3,67.9,195.7,56.7,139.6,99.3,71.2,85.04166666666667,-5.305833333333339,8.8,-0.75,107
1918,102.0,124.1,53.0,38.9,64.3,45.5,100.4,76.3,174.0,120.7,97.4,145.2,95.14999999999999,4.802499999999981,9.5,-0.05000000000000071,106
1919,116.6,64.3,80.7,48.8,78.7,66.3,34.3,82.0,73.6,38.0,73.2,160.9,76.45,-13.897500000000008,8.7,-0.8500000000000014,105
1920,144.3,66.9,102.0,102.6,103.5,53.7,125.4,70.3,66.5,130.4,105.1,104.1,97.89999999999999,7.552499999999981,9.5,-0.05000000000000071,104
1921,110.5,47.2,94.7,26.1,60.5,8.4,106.6,112.5,41.6,86.3,110.8,91.8,74.74999999999999,-15.597500000000025,10.5,0.9499999999999993,103
1922,120.5,108.7,58.8,82.1,49.6,46.9,93.6,111.6,88.5,39.1,50.6,111.0,80.08333333333334,-10.264166666666668,9.0,-0.5500000000000007,102
1923,82.9,174.1,70.5,97.2,46.2,29.1,79.3,156.8,108.4,123.1,97.6,98.9,97.00833333333333,6.660833333333315,9.2,-0.3500000000000014,101
1924,152.6,48.3,36.1,86.5,104.3,98.3,107.8,118.7,164.0,100.4,111.1,165.7,107.81666666666666,17.469166666666652,9.4,-0.15000000000000036,100
1925,118.0,123.0,27.0,106.5,132.2,15.6,89.3,72.8,76.4,105.5,73.1,85.7,85.425,-4.922500000000014,9.1,-0.45000000000000107,99
1926,183.1,90.9,42.4,63.3,84.9,76.3,79.8,88.3,59.1,92.0,145.4,31.1,86.38333333333333,-3.964166666666685,9.8,0.25,98
1927,127.3,72.7,109.5,48.6,47.7,93.3,97.4,138.8,115.0,87.5,101.7,105.1,95.38333333333333,5.035833333333315,9.4,-0.15000000000000036,97
1928,155.0,101.2,131.9,68.1,45.5,144.8,50.6,138.9,67.5,172.5,146.1,115.0,111.425,21.077499999999986,9.6,0.049999999999998934,96
1929,56.4,135.2,20.0,34.2,76.3,57.5,100.1,117.3,32.1,125.9,160.9,219.1,94.58333333333333,4.235833333333318,9.4,-0.15000000000000036,95
1930,155.5,28.8,125.3,53.1,53.3,59.4,89.4,158.7,115.6,160.5,121.2,117.1,103.15833333333332,12.810833333333306,9.2,-0.3500000000000014,94
1931,83.4,82.9,95.2,78.3,117.7,116.8,103.6,86.2,77.7,55.6,197.5,77.1,97.66666666666667,7.319166666666661,9.5,-0.05000000000000071,93
1932,122.0,7.3,62.1,86.3,89.7,40.8,119.5,62.2,84.1,111.4,61.7,167.0,84.50833333333334,-5.839166666666671,9.7,0.14999999999999858,92
1933,93.3,87.8,84.5,44.7,84.3,66.2,76.3,52.1,33.9,87.9,50.5,59.6,68.425,-21.922500000000014,10.0,0.4499999999999993,91
1934,108.1,8.3,94.9,80.6,69.1,51.3,54.4,125.9,160.9,118.3,43.8,188.4,92.0,1.6524999999999892,10.0,0.4499999999999993,90
1935,41.4,103.1,45.5,84.1,33.2,133.9,27.4,71.5,155.6,114.4,128.1,86.5,85.39166666666667,-4.955833333333345,9.6,0.049999999999998934,89
1936,144.0,83.2,73.8,49.0,38.6,89.2,169.5,44.5,106.4,73.3,110.2,127.3,92.41666666666667,2.0691666666666606,9.6,0.049999999999998934,88
1937,174.9,137.3,94.3,82.4,55.5,47.6,117.1,70.8,102.9,68.6,69.2,77.2,91.48333333333335,1.1358333333333377,9.5,-0.05000000000000071,87
1938,131.4,58.7,47.5,5.3,99.6,102.2,134.1,89.4,75.9,176.0,159.3,124.0,100.28333333333332,9.935833333333306,10.0,0.4499999999999993,86
1939,130.0,96.9,79.7,48.2,30.4,59.8,119.1,50.4,59.1,86.0,193.5,84.0,86.425,-3.9225000000000136,9.8,0.25,85
1940,106.2,127.5,95.0,97.9,47.8,35.5,95.2,18.2,65.3,177.0,139.4,114.6,93.3,2.9524999999999864,9.7,0.14999999999999858,84
1941,106.3,107.6,86.8,45.4,68.9,25.2,75.4,93.6,32.0,92.3,167.5,62.4,80.28333333333333,-10.06416666666668,9.4,-0.15000000000000036,83
1942,150.3,39.2,97.6,62.5,112.8,13.1,93.3,124.7,116.0,66.1,24.2,140.1,86.65833333333335,-3.689166666666665,9.7,0.14999999999999858,82
1943,175.8,55.2,33.5,54.9,103.5,80.3,61.8,119.4,96.4,125.7,80.6,72.3,88.28333333333335,-2.064166666666665,10.2,0.6499999999999986,81
1944,108.9,36.9,16.9,68.4,45.6,58.2,97.1,77.5,132.9,139.1,160.3,120.9,88.55833333333334,-1.7891666666666737,10.0,0.4499999999999993,80
1945,88.2,102.8,42.3,43.0,98.5,108.8,114.4,59.1,92.1,105.4,34.2,137.4,85.51666666666667,-4.830833333333345,10.7,1.1499999999999986,79
1946,125.4,88.0,59.2,34.1,64.7,99.3,88.1,150.8,162.9,68.7,136.6,136.3,101.17500000000001,10.8275,9.7,0.14999999999999858,78
1947,135.9,71.9,184.8,104.9,115.2,122.9,92.0,27.8,79.7,71.7,134.6,106.0,103.95,13.602499999999992,9.6,0.049999999999998934,77
1948,200.5,67.6,74.8,65.5,59.9,91.0,70.8,98.2,93.6,106.8,94.0,199.0,101.80833333333332,11.460833333333312,10.1,0.5499999999999989,76
1949,71.6,71.5,57.5,75.9,60.9,30.8,62.3,104.1,63.4,157.2,102.5,115.2,81.075,-9.272500000000008,10.6,1.049999999999999,75
1950,68.8,138.7,57.6,89.0,31.8,61.2,126.1,152.1,164.1,88.3,93.5,99.2,97.53333333333335,7.185833333333335,9.5,-0.05000000000000071,74
1951,125.4,98.6,85.8,49.7,56.6,53.6,68.9,134.6,128.7,53.3,153.6,162.3,97.59166666666668,7.244166666666672,9.3,-0.25,73
1952,127.0,24.9,67.6,64.3,65.2,63.5,33.0,100.0,53.6,145.7,79.7,104.7,77.43333333333334,-12.914166666666674,9.4,-0.15000000000000036,72
1953,40.3,47.5,19.9,72.9,59.8,43.6,129.0,96.0,107.8,88.0,104.3,87.8,74.74166666666666,-15.60583333333335,10.1,0.5499999999999989,71
1954,79.4,117.0,101.5,28.7,104.3,65.9,89.4,79.1,129.3,173.9,145.0,128.0,103.45833333333333,13.110833333333318,9.5,-0.05000000000000071,70
1955,111.9,100.7,39.6,71.5,91.7,129.2,18.9,47.1,83.0,58.9,87.7,138.8,81.58333333333333,-8.764166666666682,9.7,0.14999999999999858,69
1956,106.8,35.2,86.4,29.2,44.7,78.1,119.8,141.2,122.6,73.9,66.7,161.5,88.84166666666665,-1.5058333333333564,9.5,-0.05000000000000071,68
1957,127.1,92.4,128.7,33.1,59.5,47.1,100.2,87.9,166.0,110.1,44.0,112.7,92.39999999999999,2.0524999999999807,10.1,0.5499999999999989,67
1958,131.4,121.0,81.3,34.5,110.0,127.9,121.2,141.8,139.9,71.9,69.1,130.9,106.74166666666667,16.394166666666663,9.7,0.14999999999999858,66
1959,84.7,30.3,95.7,83.5,54.9,62.9,63.1,32.2,38.2,146.0,121.9,201.8,84.60000000000001,-5.747500000000002,10.4,0.8499999999999996,65
1960,116.1,95.6,83.4,74.5,69.8,71.5,144.9,119.4,119.5,140.2,167.1,126.1,110.675,20.327499999999986,9.7,0.14999999999999858,64
1961,156.4,93.5,21.9,135.6,52.1,48.1,81.3,71.7,123.4,118.3,76.3,89.5,89.00833333333333,-1.339166666666685,9.9,0.34999999999999964,63
1962,127.4,47.0,89.7,64.5,77.2,46.1,70.6,112.1,145.9,52.7,80.7,102.9,84.73333333333333,-5.6141666666666765,9.1,-0.45000000000000107,62
1963,29.2,67.0,142.0,77.4,69.9,70.3,70.8,103.8,66.1,129.9,170.6,52.3,87.44166666666666,-2.905833333333348,8.9,-0.6500000000000004,61
1964,43.1,64.5,130.6,72.7,79.7,82.1,72.1,110.8,75.4,109.3,71.5,142.5,87.8583333333333,-2.489166666666705,9.8,0.25,60
1965,139.4,9.8,95.8,81.1,82.3,104.3,86.4,93.8,96.1,68.7,161.1,159.7,98.20833333333333,7.860833333333318,9.2,-0.3500000000000014,59
1966,116.5,173.8,57.8,143.2,87.5,104.0,51.7,80.6,83.9,146.4,72.4,121.4,103.2666666666667,12.919166666666683,9.7,0.14999999999999858,58
1967,84.6,109.3,64.7,37.3,132.5,29.8,83.2,97.8,134.9,171.3,80.7,74.9,91.75,1.4024999999999892,9.5,-0.05000000000000071,57
1968,121.4,38.7,76.0,73.8,64.4,66.1,37.0,77.1,144.2,129.5,125.5,150.3,92.0,1.6524999999999892,9.5,-0.05000000000000071,56
1969,174.2,59.4,52.9,65.9,94.2,68.7,45.5,54.4,45.4,51.9,110.6,116.9,78.33333333333333,-12.014166666666682,9.3,-0.25,55
1970,127.8,114.6,57.6,89.1,32.0,50.1,91.6,76.6,110.6,81.2,165.8,56.1,87.75833333333334,-2.589166666666671,9.6,0.049999999999998934,54
1971,102.1,59.2,58.5,55.6,53.7,79.1,66.3,90.2,41.9,85.6,96.7,55.3,70.35000000000001,-19.997500000000002,10.1,0.5499999999999989,53
1972,144.7,100.5,90.9,75.6,113.2,71.7,59.4,54.7,16.9,66.4,134.8,128.5,88.10833333333335,-2.2391666666666623,9.1,-0.45000000000000107,52
1973,100.7,77.4,33.9,48.1,99.5,37.4,68.2,104.9,109.8,68.2,122.3,108.4,81.56666666666666,-8.780833333333348,9.8,0.25,51
1974,205.1,108.1,51.9,37.4,95.7,40.5,88.5,98.1,166.2,55.1,98.8,91.6,94.75,4.402499999999989,9.4,-0.15000000000000036,50
1975,162.5,49.3,49.4,61.3,26.4,20.6,70.5,48.1,134.2,118.4,89.9,41.0,72.63333333333333,-17.714166666666685,10.0,0.4499999999999993,49
1976,109.3,56.2,95.5,28.9,96.7,50.2,74.7,12.0,116.9,178.8,89.5,102.0,84.22500000000001,-6.122500000000002,9.8,0.25,48
1977,104.6,174.0,108.4,72.6,28.5,58.3,45.0,94.8,68.5,165.8,120.4,123.0,96.99166666666667,6.6441666666666634,9.5,-0.05000000000000071,47
1978,112.6,108.5,111.6,54.4,24.2,58.5,72.5,97.6,68.3,50.1,115.1,226.4,91.64999999999999,1.3024999999999807,9.6,0.049999999999998934,46
1979,94.9,73.9,100.4,74.2,108.9,57.8,33.1,119.0,59.9,140.3,128.9,165.3,96.38333333333334,6.035833333333329,8.8,-0.75,45
1980,117.0,118.9,105.1,25.0,35.3,84.1,95.4,106.6,136.6,144.7,108.2,117.5,99.53333333333335,9.185833333333335,9.5,-0.05000000000000071,44
1981,63.0,88.9,150.5,34.4,155.3,85.2,51.9,31.5,165.7,106.2,88.6,127.4,95.71666666666665,5.3691666666666436,9.6,0.049999999999998934,43
1982,105.0,112.1,113.2,31.7,71.9,131.4,20.3,94.3,114.0,156.6,162.7,137.6,104.2333333333333,13.885833333333295,9.7,0.14999999999999858,42
1983,127.0,59.4,101.3,77.6,110.0,55.6,25.5,66.8,126.1,123.0,45.0,151.7,89.08333333333333,-1.2641666666666822,10.1,0.5499999999999989,41
1984,180.2,84.9,64.7,45.5,31.9,45.1,41.9,81.7,99.4,122.3,146.1,118.1,88.48333333333333,-1.8641666666666765,9.7,0.14999999999999858,40
1985,78.6,73.7,107.0,69.0,87.4,79.7,87.0,191.5,97.5,59.9,92.2,124.1,95.63333333333334,5.285833333333329,9.2,-0.3500000000000014,39
1986,136.2,6.5,121.1,74.1,124.0,95.4,68.1,174.7,7.5,99.9,138.4,179.3,102.09999999999998,11.75249999999997,8.8,-0.75,38
1987,56.0,79.7,101.6,73.6,32.2,107.6,47.5,83.7,111.0,144.5,79.1,100.7,84.76666666666667,-5.580833333333345,9.4,-0.15000000000000036,37
1988,194.6,79.9,114.7,42.2,83.0,49.4,131.1,120.5,80.2,150.3,55.5,72.8,97.85000000000001,7.502499999999998,9.8,0.25,36
1989,89.2,102.2,134.3,83.6,20.9,65.4,23.8,105.8,59.9,147.0,60.0,119.1,84.26666666666667,-6.080833333333345,10.2,0.6499999999999986,35
1990,135.3,192.5,38.2,52.0,37.3,101.6,58.4,71.5,39.7,178.6,74.8,121.0,91.74166666666667,1.3941666666666634,10.3,0.75,34
1991,103.4,89.0,109.3,121.3,7.7,91.9,65.2,39.7,79.0,125.3,120.7,63.2,84.64166666666668,-5.705833333333331,9.8,0.25,33
1992,66.7,71.6,107.9,103.1,55.8,39.4,101.0,142.3,97.8,56.3,131.6,86.8,88.35833333333333,-1.9891666666666765,9.8,0.25,32
1993,133.2,27.7,67.1,104.3,135.0,95.7,87.8,46.1,135.0,62.5,84.8,187.1,97.19166666666666,6.844166666666652,9.6,0.049999999999998934,31
1994,148.3,154.0,119.6,97.9,67.9,55.4,91.9,83.3,87.3,69.7,102.3,159.0,103.05,12.702499999999986,9.8,0.25,30
1995,172.6,140.1,97.9,33.0,68.3,31.7,86.3,13.0,66.5,164.1,136.2,94.1,91.98333333333333,1.6358333333333235,10.4,0.8499999999999996,29
1996,146.3,109.6,106.2,93.9,70.1,40.8,64.5,110.8,37.9,169.3,126.5,52.0,93.99166666666666,3.6441666666666492,9.5,-0.05000000000000071,28
1997,35.2,134.6,36.4,41.5,82.5,119.1,77.0,157.2,61.6,90.1,162.4,128.8,93.86666666666667,3.5191666666666634,10.6,1.049999999999999,27
1998,144.4,40.4,90.9,124.0,39.7,132.4,83.7,82.7,96.0,157.4,130.3,135.6,104.79166666666667,14.44416666666666,10.4,0.8499999999999996,26
1999,135.5,61.6,59.7,92.1,60.5,56.2,44.1,109.5,173.6,65.1,102.6,192.8,96.10833333333335,5.760833333333338,10.4,0.8499999999999996,25
2000,66.3,111.7,35.7,79.9,66.7,55.3,58.5,81.8,120.8,180.0,180.4,158.6,99.64166666666665,9.29416666666664,10.0,0.4499999999999993,24
2001,73.6,80.5,89.2,83.0,40.2,60.8,74.8,106.0,66.2,130.6,59.5,60.3,77.05833333333334,-13.289166666666674,9.9,0.34999999999999964,23
2002,151.6,160.2,63.3,102.1,139.5,105.7,70.4,61.9,39.3,199.1,187.3,112.9,116.10833333333333,25.760833333333323,10.4,0.8499999999999996,22
2003,81.8,65.2,56.6,79.3,112.0,95.8,93.5,17.2,57.2,61.8,125.1,89.3,77.9,-12.447500000000005,10.5,0.9499999999999993,21
2004,123.4,52.3,85.9,67.4,47.5,82.4,59.3,122.8,101.9,166.7,54.2,89.5,87.77499999999999,-2.5725000000000193,10.4,0.8499999999999996,20
2005,128.1,51.4,73.6,105.1,86.3,51.9,73.9,65.0,86.6,146.1,99.1,82.7,87.48333333333333,-2.8641666666666765,10.6,1.049999999999999,19
2006,57.6,54.6,120.3,47.3,126.2,29.8,55.9,70.8,162.6,145.6,142.3,170.5,98.625,8.27749999999999,10.7,1.1499999999999986,18
2007,107.9,107.8,80.3,26.9,65.9,141.3,133.0,100.4,52.8,52.2,75.0,123.1,88.88333333333333,-1.464166666666685,10.8,1.25,17
2008,174.3,58.0,113.5,45.1,42.3,101.9,123.8,175.9,108.2,152.4,80.4,73.7,104.12500000000001,13.777500000000003,10.1,0.5499999999999989,16
2009,152.9,36.5,48.7,120.9,90.7,73.2,174.7,148.4,49.4,129.9,244.9,105.4,114.63333333333334,24.28583333333333,10.1,0.5499999999999989,15
2010,93.8,52.6,86.2,56.9,47.5,54.2,139.2,43.7,136.0,80.1,135.8,62.5,82.375,-7.972500000000011,9.1,-0.45000000000000107,14
2011,93.8,52.6,86.2,56.9,47.5,54.2,139.2,43.7,136.0,80.1,135.8,62.5,82.375,-7.972500000000011,10.3,0.75,13
2012,93.8,52.6,86.2,56.9,47.5,54.2,139.2,43.7,136.0,80.1,135.8,62.5,82.375,-7.972500000000011,10.0,0.4499999999999993,12
2013,93.8,52.6,86.2,56.9,47.5,54.2,139.2,43.7,136.0,80.1,135.8,62.5,82.375,-7.972500000000011,10.0,0.4499999999999993,11
2014,93.8,52.6,86.2,56.9,47.5,54.2,139.2,43.7,136.0,80.1,135.8,62.5,82.375,-7.972500000000011,10.5,0.9499999999999993,10
2015,93.8,52.6,86.2,56.9,47.5,54.2,139.2,43.7,136.0,80.1,135.8,62.5,82.375,-7.972500000000011,9.9,0.34999999999999964,9
2016,93.8,52.6,86.2,56.9,47.5,54.2,139.2,43.7,136.0,80.1,135.8,62.5,82.375,-7.972500000000011,10.3,0.75,8
2017,93.8,52.6,86.2,56.9,47.5,54.2,139.2,43.7,136.0,80.1,135.8,62.5,82.375,-7.972500000000011,10.5,0.9499999999999993,7
2018,93.8,52.6,86.2,56.9,47.5,54.2,139.2,43.7,136.0,80.1,135.8,62.5,82.375,-7.972500000000011,10.3,0.75,6
2019,93.8,52.6,86.2,56.9,47.5,54.2,139.2,43.7,136.0,80.1,135.8,62.5,82.375,-7.972500000000011,10.5,0.9499999999999993,5
2020,93.8,52.6,86.2,56.9,47.5,54.2,139.2,43.7,136.0,80.1,135.8,62.5,82.375,-7.972500000000011,10.4,0.8499999999999996,4
2021,93.8,52.6,86.2,56.9,47.5,54.2,139.2,43.7,136.0,80.1,135.8,62.5,82.375,-7.972500000000011,10.5,0.9499999999999993,3
2022,93.8,52.6,86.2,56.9,47.5,54.2,139.2,43.7,136.0,80.1,135.8,62.5,82.375,-7.972500000000011,10.9,1.3499999999999996,2
